brand,model_name,package_set,brake_type,tyres_type,weight_set,weight_front,weight_rear,rim_depth,rim_internal_width,rim_external_width,rim_material,sproks_material_front,sproks_material_rear,hub_material_front,hub_material_rear,bearings_type,suggested_price_euro,url_maker,url_shop,item_component,item_price,discount,colour,edition
campagnolo,BORA WTO 45 DISC BRAKE,set,disc,tubeless,1520,,,45,19,26.5,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€2,160.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_45_disc_brake,https://www.wiggle.co.uk/campagnolo-zonda-c17-wheelset,700c Shimano/SRAM,"€1,944.00",10%,black,black
campagnolo,BORA WTO 45,set,rim,tubeless,1.496,,,45,19,26.5,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€2,160.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_45_disc_brake,https://www.wiggle.co.uk/campagnolo-zonda-c17-wheelset,700c Shimano,"€1,944.00",10%,black,black
campagnolo,BORA WTO 60,set,rim,tubeless,1547,,,60,19,26.5,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€2,160.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_60,https://www.wiggle.co.uk/campagnolo-bora-ultra-50-clincher-wheelset-1,700c Shimano/SRAM,"€1,944.00",10%,black,black
campagnolo,BORA WTO 60 DISC BRAKE,set,disc,tubeless,1590,,,60,19,26.5,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€2,160.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_60_disc_brake,https://www.wiggle.co.uk/campagnolo-bora-ultra-50-clincher-wheelset-1,700c Single Speed,"€1,944.00",10%,black,black
campagnolo,BORA WTO 33 DISC BRAKE,set,disc,tubeless,1485,,,33,19,26.1,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€2,160.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_33_disc_brake,https://www.wiggle.co.uk/campagnolo-shamal-mille-c17-clincher-wheelset,700c Campagnolo,"€1,944.00",10%,black,black
campagnolo,BORA WTO 33,set,disc,tubeless,1395,,,33,19,26.5,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€2,160.00",https://www.campagnolo.com/JP/en/Wheels/bora_wto_33_disc_brake,https://www.wiggle.co.uk/campagnolo-shamal-mille-c17-clincher-wheelset,700c Shimano/SRAM,"€1,944.00",10%,black,black
campagnolo,BORA ULTRA TT,rear,rim,tubular,,,864,,,20,carbon,aluminium,aluminium,,aluminium,ceramic,"€3,433.00",https://www.campagnolo.com/JP/en/Wheels/wheel_bora_ultra_tt,https://www.wiggle.co.uk/campagnolo-shamal-ultra-c17-clincher-wheelset,700c Campagnolo,"€3,089.70",10%,black,black
campagnolo,BORA ULTRA 50,set,rim,clinchers,1435,,,50,19,24.2,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€2,827.00",https://www.campagnolo.com/JP/en/Wheels/bora_ultra_50,https://www.wiggle.co.uk/campagnolo-shamal-ultra-c17-clincher-wheelset,700c Single Speed,"€2,544.30",10%,black,black
campagnolo,BORA ULTRA 50,set,rim,tubular,1215,,,50,19,24.2,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€2,827.00",https://www.campagnolo.com/JP/en/Wheels/bora_ultra_50,https://www.wiggle.co.uk/campagnolo-scirocco-c17-road-wheelset,700c Single Speed,"€2,544.30",10%,black,black
campagnolo,BORA ULTRA 35,set,rim,clinchers,1360,,,50,19,24.2,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€2,827.00",https://www.campagnolo.com/JP/en/Wheels/wheel_bora_ultra_35,https://www.wiggle.co.uk/campagnolo-scirocco-c17-road-wheelset,700c Shimano/SRAM,"€2,544.30",10%,black,black
campagnolo,BORA ULTRA 35,set,rim,tubular,1170,,,50,19,24.2,carbon,aluminium,aluminium,carbon,aluminium,ceramic,"€2,827.00",https://www.campagnolo.com/JP/en/Wheels/wheel_bora_ultra_35,https://www.wiggle.co.uk/campagnolo-bora-ultra-35-clincher-wheelset,Black Campagnolo,"€2,544.30",10%,black,black
campagnolo,BORA ONE 50,set,rim,clinchers,1485,,,50,19,24.2,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€1,877.00",https://www.campagnolo.com/JP/en/Wheels/bora_one_50,https://www.wiggle.co.uk/campagnolo-shamal-ultra-c17-2-way-fit-wheelset,Black Shimano,"€1,689.30",10%,black,black
campagnolo,BORA ONE 50,set,rim,tubular,1265,,,50,19,24.2,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€1,877.00",https://www.campagnolo.com/JP/en/Wheels/bora_one_50,https://www.wiggle.co.uk/campagnolo-shamal-ultra-c17-2-way-fit-wheelset,700c Campagnolo,"€1,689.30",10%,black,black
campagnolo,BORA ONE 35,set,rim,clinchers,1405,,,35,19,24.2,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€1,877.00",https://www.campagnolo.com/JP/en/Wheels/bora_one_35,https://www.wiggle.co.uk/vision-team-30-clincher-road-wheelset,700c Shimano/SRAM,"€1,689.30",10%,black,black
campagnolo,BORA ONE 35,set,rim,tubular,1215,,,35,19,24.2,carbon,aluminium,aluminium,aluminium,aluminium,ceramic,"€1,877.00",https://www.campagnolo.com/JP/en/Wheels/bora_one_355,https://www.wiggle.co.uk/campagnolo-zonda-c17-disc-brake-wheelset-bolt-thru-cl,700c Shimano/SRAM,"€1,689.30",10%,black,black
